sku,instanceType,family,regionCode,location,operatingSystem,tenancy,vcpu,memory_gb,price_usd_hour,unit,price_per_vcpu,price_per_gb
22PCVUMSTSHECWJD,m5d.12xlarge,m5d,us-east-1,US East (N. Virginia),Linux,Shared,48.0,192.0,2.712,Hrs,0.0565,0.014125
25T5FUC5Y3JNGAFA,m7a.8xlarge,m7a,us-east-1,US East (N. Virginia),Linux,Shared,32.0,128.0,1.85472,Hrs,0.05796,0.01449
2723Y6XSS36CHBAA,c8gn.24xlarge,c8gn,us-east-1,US East (N. Virginia),Linux,Shared,96.0,192.0,5.688,Hrs,0.05925,0.029625
273THAVM6ZRP8FQ2,r7a.32xlarge,r7a,us-east-1,US East (N. Virginia),Linux,Shared,128.0,1024.0,9.7376,Hrs,0.076075,0.009509375
286TSEU9NR8JBJBG,r7a.8xlarge,r7a,us-east-1,US East (N. Virginia),Linux,Shared,32.0,256.0,2.4344,Hrs,0.076075,0.009509375
28VB7F25R8GP7JBH,c7a.large,c7a,us-east-1,US East (N. Virginia),Linux,Shared,2.0,4.0,0.10264,Hrs,0.05132,0.02566
2AYU3ARCNA2MQQ84,m5a.12xlarge,m5a,us-east-1,US East (N. Virginia),Linux,Shared,48.0,192.0,2.064,Hrs,0.043,0.01075
2C8CC8Z9ANDGKUSH,m6in.xlarge,m6in,us-east-1,US East (N. Virginia),Linux,Shared,4.0,16.0,0.27846,Hrs,0.069615,0.01740375
2CE9ZTR3NM2H9F6U,c8gn.16xlarge,c8gn,us-east-1,US East (N. Virginia),Linux,Shared,64.0,128.0,3.792,Hrs,0.05925,0.029625
2E2T36HY57HC8CW8,r6idn.24xlarge,r6idn,us-east-1,US East (N. Virginia),Linux,Shared,96.0,768.0,9.37872,Hrs,0.0976949999999999,0.0122118749999999
2EMSH2AUHYHGRE9T,r7g.metal,r7g,us-east-1,US East (N. Virginia),Linux,Shared,64.0,512.0,3.4272,Hrs,0.05355,0.00669375
2FS9JGFZ3QYEJ2WE,r5n.metal,r5n,us-east-1,US East (N. Virginia),Linux,Shared,96.0,768.0,7.152,Hrs,0.0745,0.0093125
2G9XM8CFU6557EFK,r7a.16xlarge,r7a,us-east-1,US East (N. Virginia),Linux,Shared,64.0,512.0,4.8688,Hrs,0.076075,0.009509375
2GCTBU78G22TGEXZ,m1.small,m1,us-east-1,US East (N. Virginia),Linux,Shared,1.0,1.7,0.044,Hrs,0.044,0.0258823529411764
2HC4SEQ26EXUUNAY,c6in.xlarge,c6in,us-east-1,US East (N. Virginia),Linux,Shared,4.0,8.0,0.2268,Hrs,0.0567,0.02835
2JHUA6KZCU3782KE,t4g.large,t4g,us-east-1,US East (N. Virginia),Linux,Shared,2.0,8.0,0.0672,Hrs,0.0336,0.0084
2KDPHNSBHFB3KFYK,r5a.xlarge,r5a,us-east-1,US East (N. Virginia),Linux,Shared,4.0,32.0,0.226,Hrs,0.0565,0.0070625
